호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-21 08,6.1,2024-02-29
2,강남,2024-01-21 09,12.1,2024-02-29
2,강남,2024-01-21 10,18.1,2024-02-29
2,강남,2024-01-21 11,15.1,2024-02-29
2,강남,2024-01-21 12,16.6,2024-02-29
2,강남,2024-01-21 13,18.2,2024-02-29
2,강남,2024-01-21 14,19.6,2024-02-29
2,강남,2024-01-21 15,22.7,2024-02-29
2,강남,2024-01-21 16,11.1,2024-02-29
2,강남,2024-01-21 17,5.6,2024-02-29
2,강남,2024-01-21 18,14.8,2024-02-29
2,강남,2024-01-21 19,13.3,2024-02-29
2,강남,2024-01-21 20,11.3,2024-02-29
2,강남,2024-01-21 21,31.5,2024-02-29
2,강남,2024-01-21 22,30.2,2024-02-29
2,강남,2024-01-21 23,29.1,2024-02-29
2,강남,2024-01-22 00,23.9,2024-02-29
2,강남,2024-01-22 01,31.1,2024-02-29
2,강남,2024-01-22 02,27,2024-02-29
2,강남,2024-01-22 03,24.8,2024-02-29
2,강남,2024-01-22 04,20.5,2024-02-29
2,강남,2024-01-22 05,19.4,2024-02-29
2,강남,2024-01-22 06,14.8,2024-02-29
2,강남,2024-01-22 07,16.2,2024-02-29
2,강남,2024-01-22 08,50.5,2024-02-29
2,강남,2024-01-22 09,92,2024-02-29
2,강남,2024-01-22 10,84.9,2024-02-29
2,강남,2024-01-22 11,50.8,2024-02-29
2,강남,2024-01-22 12,51,2024-02-29
2,강남,2024-01-22 13,46.1,2024-02-29
2,강남,2024-01-22 14,42.5,2024-02-29
2,강남,2024-01-22 15,43.3,2024-02-29
2,강남,2024-01-22 16,45.3,2024-02-29
2,강남,2024-01-22 17,52.9,2024-02-29
2,강남,2024-01-22 18,57.4,2024-02-29
2,강남,2024-01-22 19,57.6,2024-02-29
2,강남,2024-01-22 20,51.3,2024-02-29
2,강남,2024-01-22 21,32.3,2024-02-29
2,강남,2024-01-22 22,22.9,2024-02-29
2,강남,2024-01-22 23,20.7,2024-02-29
2,강남,2024-01-23 00,10,2024-02-29
2,강남,2024-01-23 01,7.2,2024-02-29
2,강남,2024-01-23 02,6,2024-02-29
2,강남,2024-01-23 03,14.7,2024-02-29
2,강남,2024-01-23 04,14,2024-02-29
2,강남,2024-01-23 05,14.1,2024-02-29
2,강남,2024-01-23 06,10.5,2024-02-29
2,강남,2024-01-23 07,33.9,2024-02-29
2,강남,2024-01-23 08,71.6,2024-02-29
2,강남,2024-01-23 09,112.4,2024-02-29
2,강남,2024-01-23 10,112.2,2024-02-29
2,강남,2024-01-23 11,67.9,2024-02-29
2,강남,2024-01-23 12,45.7,2024-02-29
2,강남,2024-01-23 13,47.2,2024-02-29
2,강남,2024-01-23 14,57.1,2024-02-29
2,강남,2024-01-23 15,56.4,2024-02-29
2,강남,2024-01-23 16,56.3,2024-02-29
2,강남,2024-01-23 17,45,2024-02-29
2,강남,2024-01-23 18,55.2,2024-02-29
2,강남,2024-01-23 19,60,2024-02-29
2,강남,2024-01-23 20,44.5,2024-02-29
2,강남,2024-01-23 21,29.2,2024-02-29
2,강남,2024-01-23 22,23,2024-02-29
2,강남,2024-01-23 23,13.9,2024-02-29
2,강남,2024-01-24 00,17.5,2024-02-29
2,강남,2024-01-24 01,10.7,2024-02-29
2,강남,2024-01-24 02,5.8,2024-02-29
2,강남,2024-01-24 03,1.3,2024-02-29
2,강남,2024-01-24 04,5.9,2024-02-29
2,강남,2024-01-24 05,4,2024-02-29
2,강남,2024-01-24 06,3.8,2024-02-29
2,강남,2024-01-24 07,23.8,2024-02-29
