storeNumber,countryCode,ownershipTypeCode,latitude,longitude
25324-219149,AR,LS,-34.584575,-58.435814
15509-158844,AR,LS,-34.57519,-58.425356
49469-269451,AR,LS,-34.489839,-58.485391
16744-173424,AR,LS,-34.571917,-58.42168
20313-198064,AR,LS,-34.581832,-58.42804
26540-219150,AR,LS,-34.489259,-58.499991
51308-278015,AR,LS,-34.558379,-58.41019
49438-156016,AR,LS,-34.574442,-58.416297
24876-231226,AR,LS,-34.598666,-58.440152
1290-142064,AR,LS,-34.589835,-58.425611
17243-180104,AR,LS,-34.611792,-58.518163
57103-289481,AR,LS,-34.497796,-58.545517
3629-142529,AR,LS,-34.580807,-58.410449
25325-232985,AR,LS,-34.586575,-58.414098
7027-149890,AR,LS,-34.57785,-58.405995
9199-152184,AR,LS,-34.575586,-58.404014
32499-294750,AR,LS,-34.587978,-58.409652
15059-157325,AR,LS,-34.592319,-58.412618
50998-276869,AR,LS,-34.587413,-58.407765
16786-175824,AR,LS,-34.490901,-58.547632
15008-157047,AR,LS,-34.470386,-58.511856
15058-157324,AR,LS,-34.584775,-58.399801
21445-212345,AR,LS,-34.618671,-58.437291
15005-157045,AR,LS,-34.617189,-58.43399
26464-238685,AR,LS,-34.597871,-58.406615
3554-153291,AR,LS,-34.590791,-58.400619
6177-149892,AR,LS,-34.615562,-58.4291
47751-259030,AR,LS,-34.589466,-58.398381
1279-139527,AR,LS,-34.603912,-58.410938
19945-198044,AR,LS,-34.60404,-58.410992
49471-269448,AR,LS,-34.622293,-58.437357
55625-289482,AR,LS,-34.604213,-58.40883
24076-221025,AR,LS,-34.599596,-58.40046
49462-269446,AR,LS,-34.60936,-58.397202
26539-230148,AR,LS,-34.5957,-58.395991
1277-139525,AR,LS,-34.600682,-58.392956
15653-164104,AR,LS,-34.60445,-58.392312
15329-160024,AR,LS,-34.604569,-58.390987
16743-175224,AR,LS,-34.59606,-58.393272
16479-169427,AR,LS,-34.602881,-58.386377
24877-228684,AR,LS,-34.588792,-58.393643
16600-173444,AR,LS,-34.609274,-58.384918
26472-239830,AR,LS,-34.595678,-58.385854
16237-169426,AR,LS,-34.585616,-58.39339
8090-154364,AR,LS,-34.604593,-58.382199
51315-278014,AR,LS,-34.603606,-58.380942
23695-219147,AR,LS,-34.59901,-58.380961
56607-290487,AR,LS,-34.583946,-58.390594
53537-285731,AR,LS,-34.60493,-58.379153
